iter	RMSE
0	0.6226815842
1	0.6086741938
2	0.5952421733
3	0.5823866085
4	0.570194855
5	0.5581571875
6	0.5470031464
7	0.536239413
8	0.5251372043
9	0.5145791224
10	0.5042746202
11	0.4945986599
12	0.4853480789
13	0.4762502434
14	0.4678044682
15	0.4593123504
16	0.4517923384
17	0.4441039059
18	0.4362176383
19	0.4291576079
20	0.4216292712
21	0.4147247871
22	0.4081081558
23	0.4020657429
24	0.3958627055
25	0.3900732197
26	0.3842201897
27	0.3787866384
28	0.3739390343
29	0.3688258168
30	0.363686506
31	0.3592656293
32	0.3546567404
33	0.3503612143
34	0.3463695273
35	0.3427125316
36	0.3386690804
37	0.3350913779
38	0.3315719791
39	0.3282105697
40	0.3250024632
41	0.3221265662
42	0.3191357589
43	0.3162218462
44	0.3133267254
45	0.3103382181
46	0.3075920057
47	0.3050072474
48	0.3026741785
49	0.300370984
50	0.2980402189
51	0.2957391286
52	0.2937922164
53	0.2917667963
54	0.2897643556
55	0.2879870552
56	0.2860305702
57	0.2844477469
58	0.2829137825
59	0.2814671431
60	0.2798254306
61	0.2783266318
62	0.2770559364
63	0.2755835027
64	0.2743984871
65	0.2732444419
66	0.2720680813
67	0.2709654653
68	0.2698248449
69	0.2688391472
70	0.2677408661
71	0.2668237508
72	0.265883848
73	0.2649794571
74	0.2642030566
75	0.263367443
76	0.2625084835
77	0.2616184587
78	0.2607984601
79	0.2600734763
80	0.2594675684
81	0.2585607065
82	0.257749811
83	0.2569160971
84	0.2563415541
85	0.2558154526
86	0.2552137509
87	0.254551574
88	0.2539203375
89	0.2534634296
90	0.2529643339
91	0.2525328007
92	0.2519155281
93	0.2513274377
94	0.2506983583
95	0.250264232
96	0.2498247585
97	0.2494333648
98	0.2490132775
99	0.2485302252
100	0.2481572528
101	0.2477281402
102	0.2473045427
103	0.2469535335
104	0.2464552884
105	0.2460287312
106	0.2456745224
107	0.2452686524
108	0.2449883925
109	0.2446665996
110	0.2443276104
111	0.2439606698
112	0.2435884061
113	0.2433161106
114	0.2430008187
115	0.2427034916
116	0.2424711895
117	0.2422258784
118	0.2418815701
119	0.2416119644
120	0.2413759842
121	0.2411240778
122	0.2408689329
123	0.2406454052
124	0.2404559278
125	0.240190164
126	0.2399829364
127	0.2397770332
128	0.2394884431
129	0.2392597717
130	0.2390217329
131	0.2387615858
132	0.2385572211
133	0.2383202138
134	0.2381450237
135	0.2379988178
136	0.2378066271
137	0.2375772926
138	0.2373523343
139	0.2372120961
140	0.2370041163
141	0.236767302
142	0.236552378
143	0.2364086003
144	0.2362146049
145	0.2360465278
146	0.2358888631
147	0.2357021371
148	0.235537953
149	0.2353929152
150	0.2352670408
151	0.2351420514
152	0.2349325735
153	0.2347848696
154	0.2346757881
155	0.2344765911
156	0.2342746504
157	0.2341341008
158	0.2340230152
159	0.2338491905
160	0.2336644204
161	0.2334803046
