iter	Passed	Remaining
0	95	95343
1	177	88692
2	252	84055
3	328	81887
4	408	81363
5	485	80402
6	566	80315
7	661	82054
8	752	82857
9	832	82406
10	922	82966
11	1014	83492
12	1109	84258
13	1188	83732
14	1283	84270
15	1373	84476
16	1461	84504
17	1538	83928
18	1622	83754
19	1698	83218
20	1795	83700
21	1892	84112
22	1976	83962
23	2073	84318
24	2171	84686
25	2264	84830
26	2357	84960
27	2452	85124
28	2550	85406
29	2634	85183
30	2716	84899
31	2793	84500
32	2891	84737
33	2970	84395
34	3044	83943
35	3127	83745
36	3217	83732
37	3295	83424
38	3372	83112
39	3450	82818
40	3543	82880
41	3620	82583
42	3704	82438
43	3793	82421
44	3889	82552
45	3984	82628
46	4070	82544
47	4152	82366
48	4234	82193
49	4319	82068
50	4416	82185
51	4511	82239
52	4603	82256
53	4696	82277
54	4790	82303
55	4888	82398
56	4977	82354
57	5059	82172
58	5142	82017
59	5225	81869
60	5324	81960
61	5413	81895
62	5493	81705
63	5583	81662
64	5647	81230
65	5742	81270
66	5821	81066
67	5912	81038
68	5993	80865
69	6072	80677
70	6151	80486
71	6224	80232
72	6306	80086
73	6388	79943
74	6480	79930
75	6574	79929
76	6651	79727
77	6745	79735
78	6839	79740
79	6917	79550
80	7014	79582
81	7077	79235
82	7171	79233
83	7265	79232
84	7362	79256
85	7441	79090
86	7530	79027
87	7626	79035
88	7714	78963
89	7793	78805
90	7878	78694
91	7955	78513
92	8048	78489
93	8159	78642
94	8253	78626
95	8341	78551
96	8427	78454
97	8525	78469
98	8616	78416
99	8709	78388
100	8790	78243
101	8867	78072
102	8960	78032
103	9069	78139
104	9166	78132
105	9262	78118
106	9337	77929
107	9420	77806
108	9511	77750
109	9589	77587
110	9687	77588
111	9771	77472
112	9872	77496
113	9966	77456
114	10057	77396
115	10154	77386
116	10247	77338
117	10327	77197
118	10421	77153
119	10499	76992
120	10588	76916
121	10677	76844
122	10785	76898
123	10865	76758
124	10957	76700
125	11046	76623
126	11140	76581
127	11235	76540
128	11326	76478
129	11404	76324
130	11499	76283
131	11580	76148
132	11659	76005
133	11733	75829
134	11813	75695
135	11895	75570
136	11990	75533
137	12070	75399
138	12155	75295
139	12254	75274
140	12343	75199
141	12428	75094
142	12516	75013
143	12599	74896
144	12685	74803
145	12773	74714
146	12869	74675
147	12949	74547
148	13048	74526
149	13140	74463
150	13221	74338
151	13301	74209
152	13382	74083
153	13464	73969
154	13574	74003
155	13666	73938
156	13762	73894
157	13848	73798
158	13933	73699
159	14013	73569
160	14107	73515
161	14193	73419
162	14277	73316
163	14373	73269
164	14465	73204
165	14547	73086
166	14632	72989
167	14711	72858
168	14811	72832
169	14905	72775
170	15012	72781
171	15113	72753
172	15207	72699
173	15303	72647
174	15394	72572
175	15504	72587
176	15594	72509
